"id","key","label","short_label","icon","description","sort_order","is_active","insurance_tier","created_at","updated_at"
"cmnpql24f0000ictv0rk6109x","FIREWALL","Firewall & Network Security","Firewall","🔥","Enterprise firewall configuration, rule management, and network perimeter security.",1,True,"HIGH_RISK","2026-04-08 07:38:30.783","2026-04-08 07:38:30.783"
"cmnpql24p0001ictvod35if7f","NETWORKING","Networking & Infrastructure","Networking","🌐","LAN/WAN design, switches, routers, SD-WAN, and network troubleshooting.",2,True,"ELEVATED","2026-04-08 07:38:30.793","2026-04-08 07:38:30.793"
"cmnpql24s0002ictvauos53dh","DATABASE","Database Administration","Database","🗄️","SQL Server, PostgreSQL, Oracle, MySQL — DBA, tuning, migration, and HA.",3,True,"ELEVATED","2026-04-08 07:38:30.796","2026-04-08 07:38:30.796"
"cmnpql24w0003ictv23n3rclw","CLOUD_AZURE","Cloud Infrastructure","Cloud","☁️","Azure, AWS, and GCP architecture, migration, and managed services.",4,True,"HIGH_RISK","2026-04-08 07:38:30.799","2026-04-08 07:38:30.799"
"cmnpql24z0004ictvgc06ao7s","LINUX","Linux Systems","Linux","🐧","Linux server administration, scripting, hardening, and performance tuning.",5,True,"STANDARD","2026-04-08 07:38:30.803","2026-04-08 07:38:30.803"
"cmnpql2510005ictvo9ojdt48","WINDOWS_ADMIN","Windows Administration","Windows","🖥️","Active Directory, Group Policy, Windows Server, and desktop management.",6,True,"STANDARD","2026-04-08 07:38:30.805","2026-04-08 07:38:30.805"
"cmnpql2530006ictvy1v79w9v","CYBERSECURITY","Cybersecurity","Security","🔒","Penetration testing, SIEM, incident response, compliance, and risk assessment.",7,True,"HIGH_RISK","2026-04-08 07:38:30.807","2026-04-08 07:38:30.807"
"cmnpql2550007ictvyl90owls","DEVOPS","DevOps & CI/CD","DevOps","⚙️","Pipeline automation, containerisation, Kubernetes, and infrastructure as code.",8,True,"ELEVATED","2026-04-08 07:38:30.809","2026-04-08 07:38:30.809"
"cmnpql2570008ictvvd0gez4r","STORAGE","Storage & SAN","Storage","💾","SAN, NAS, object storage, capacity planning, and data tiering.",9,True,"ELEVATED","2026-04-08 07:38:30.811","2026-04-08 07:38:30.811"
"cmnpql2580009ictvabylu9xg","VIRTUALIZATION","Virtualisation","Virtual","📦","VMware vSphere, Hyper-V, Proxmox — VM provisioning, vMotion, and consolidation.",10,True,"STANDARD","2026-04-08 07:38:30.812","2026-04-08 07:38:30.812"
"cmnpql259000aictv9n1a3noi","OFFICE_365","Microsoft 365","M365","📧","Exchange Online, Teams, SharePoint, Intune, and tenant administration.",11,True,"STANDARD","2026-04-08 07:38:30.813","2026-04-08 07:38:30.813"
"cmnpql25b000bictvsbxlxr1x","BACKUP","Backup & Disaster Recovery","Backup & DR","💿","Veeam, Commvault, Backup Exec — RPO/RTO design, DR testing, and replication.",12,True,"ELEVATED","2026-04-08 07:38:30.815","2026-04-08 07:38:30.815"
"cmnpql25c000cictvvn15fy1x","AI_INTEGRATION","AI & Automation","AI","🤖","AI/ML integration, process automation, Power Automate, and scripting.",13,True,"HIGH_RISK","2026-04-08 07:38:30.816","2026-04-08 07:38:30.816"
"cmnpql25e000dictvuzrlhprg","SYSTEM_ADMIN","System Administration","SysAdmin","🛠️","General IT operations, end-user support escalation, and infrastructure management.",14,True,"ELEVATED","2026-04-08 07:38:30.818","2026-04-08 07:38:30.818"
